=== Run 1 ===
Message ID | Bytes | Avg Latency | Num Latencies
ID 840001   | 37    bytes | 5364.69     | 88 latencies
ID 840002   | 736   bytes | 8498.82     | 88 latencies
ID 840003   | 38    bytes | 8365.50     | 88 latencies
ID 850001   | 37    bytes | 4785.58     | 88 latencies
ID 850002   | 736   bytes | 8564.58     | 88 latencies
ID 850003   | 38    bytes | 8555.47     | 88 latencies
ID 860001   | 37    bytes | 4139.27     | 88 latencies
ID 860002   | 736   bytes | 7351.05     | 88 latencies
ID 860003   | 38    bytes | 7751.56     | 88 latencies
ID 870001   | 37    bytes | 4890.50     | 88 latencies
ID 870002   | 736   bytes | 8490.11     | 88 latencies
ID 870003   | 38    bytes | 8561.66     | 88 latencies
=== Run 2 ===
Message ID | Bytes | Avg Latency | Num Latencies
-----------------------------------------------
ID 1        | 37    bytes | 3693.06     | 88 latencies
ID 2        | 736   bytes | 4159.84     | 88 latencies
ID 3        | 38    bytes | 9420.95     | 88 latencies
ID 10001    | 37    bytes | 4360.83     | 88 latencies
ID 10002    | 736   bytes | 4269.97     | 88 latencies
ID 10003    | 38    bytes | 9811.59     | 88 latencies
ID 20001    | 37    bytes | 4264.38     | 88 latencies
ID 20002    | 736   bytes | 6475.83     | 88 latencies
ID 20003    | 38    bytes | 9913.93     | 88 latencies
ID 30001    | 37    bytes | 3410.06     | 88 latencies
ID 30002    | 736   bytes | 6128.75     | 88 latencies
ID 30003    | 38    bytes | 9873.11     | 88 latencies
ID 40001    | 37    bytes | 3958.26     | 88 latencies
ID 40002    | 736   bytes | 5017.08     | 88 latencies
ID 40003    | 38    bytes | 9890.03     | 88 latencies
ID 50001    | 37    bytes | 4401.41     | 88 latencies
ID 50002    | 736   bytes | 4644.59     | 88 latencies
ID 50003    | 38    bytes | 9880.91     | 88 latencies
ID 60001    | 37    bytes | 4415.10     | 88 latencies
ID 60002    | 736   bytes | 4861.23     | 88 latencies
ID 60003    | 38    bytes | 9421.98     | 88 latencies
ID 70001    | 37    bytes | 3943.59     | 88 latencies
ID 70002    | 736   bytes | 9768.02     | 88 latencies
ID 70003    | 38    bytes | 9812.52     | 88 latencies
ID 80001    | 37    bytes | 4464.82     | 88 latencies
ID 80002    | 736   bytes | 6898.93     | 88 latencies
ID 80003    | 38    bytes | 9873.76     | 88 latencies
ID 90001    | 37    bytes | 4377.22     | 88 latencies
ID 90002    | 736   bytes | 4502.02     | 88 latencies
ID 90003    | 38    bytes | 9663.61     | 88 latencies
ID 100001   | 37    bytes | 4258.40     | 88 latencies
ID 100002   | 736   bytes | 4846.59     | 88 latencies
ID 100003   | 38    bytes | 9868.06     | 88 latencies
ID 110001   | 37    bytes | 4315.26     | 88 latencies
ID 110002   | 736   bytes | 5366.82     | 88 latencies
ID 110003   | 38    bytes | 9688.86     | 88 latencies
ID 120001   | 37    bytes | 4393.68     | 88 latencies
ID 120002   | 736   bytes | 5629.02     | 88 latencies
ID 120003   | 38    bytes | 9764.08     | 88 latencies
ID 130001   | 37    bytes | 4335.70     | 88 latencies
ID 130002   | 736   bytes | 9155.40     | 88 latencies
ID 130003   | 38    bytes | 9461.59     | 88 latencies
ID 140001   | 37    bytes | 4464.70     | 88 latencies
ID 140002   | 736   bytes | 7152.56     | 88 latencies
ID 140003   | 38    bytes | 9828.12     | 88 latencies
ID 150001   | 37    bytes | 4431.98     | 88 latencies
ID 150002   | 736   bytes | 5110.57     | 88 latencies
ID 150003   | 38    bytes | 9880.92     | 88 latencies
ID 160001   | 37    bytes | 4333.32     | 88 latencies
ID 160002   | 736   bytes | 5758.60     | 88 latencies
ID 160003   | 38    bytes | 9396.22     | 88 latencies
ID 170001   | 37    bytes | 3273.62     | 88 latencies
ID 170002   | 736   bytes | 5557.73     | 88 latencies
ID 170003   | 38    bytes | 9817.62     | 88 latencies
ID 180001   | 37    bytes | 3721.10     | 88 latencies
ID 180002   | 736   bytes | 5584.85     | 88 latencies
ID 180003   | 38    bytes | 9884.12     | 88 latencies
ID 190001   | 37    bytes | 4417.44     | 88 latencies
ID 190002   | 736   bytes | 6260.73     | 88 latencies
ID 190003   | 38    bytes | 9788.76     | 88 latencies
ID 200001   | 37    bytes | 4079.49     | 88 latencies
ID 200002   | 736   bytes | 9548.70     | 88 latencies
ID 200003   | 38    bytes | 9656.99     | 88 latencies
